Group,ShockBL,ShockTest,CSBL,Cstest
1,2.797083333,37.16763889,15.55638889,97.70763889
1,40.35763889,50.95069444,5.687638889,78.46708333
1,5.234305556,25.49347222,9.805277778,50.52097222
1,5.439305556,21.06083333,19.26013889,49.05625
1,6.838333333,26.12486111,0.611111111,92.68708333
1,6.568194444,20.62722222,32.04513889,100
2,0,94.10097222,51.28458333,96.5625
2,0.726111111,75.33222222,16.84027778,94.37152778
2,1.909722222,83.37222222,20.43402778,83.53444444
2,1.48625,86.44263889,13.24236111,78.54902778
2,54.95444444,91.14194444,3.537916667,80.80430556
2,22.08347222,82.93041667,42.20138889,83.05305556
2,4.5275,79.46083333,25.44097222,40.80638889
2,15.12375,75.76097222,33.44305556,81.49722222